,2_differences_1000_sample_mean,2_differences_1_sample_skewness,1_differences_10_sample_kurtosis,0_differences_100_sample_kurtosis,0_differences_1_sample_skewness,1_differences_100_sample_skewness,1_differences_1_sample_kurtosis,2_differences_1000_sample_skewness,1_differences_1000_sample_std,1_differences_1_sample_skewness,0_differences_1_sample_std,0_differences_1_sample_mean,0_differences_100_sample_skewness,1_differences_1_sample_mean,2_differences_10_sample_kurtosis,2_differences_1000_sample_kurtosis,2_differences_1_sample_kurtosis,0_differences_1000_sample_mean,2_differences_1_sample_std,2_differences_10_sample_mean,0_differences_1_sample_kurtosis,0_differences_100_sample_std,0_differences_100_sample_mean,1_differences_1000_sample_mean,1_differences_1_sample_std,2_differences_10_sample_std,2_differences_100_sample_kurtosis,0_differences_10_sample_skewness,1_differences_100_sample_mean,2_differences_1000_sample_std,2_differences_100_sample_std,1_differences_1000_sample_skewness,0_differences_1000_sample_kurtosis,1_differences_10_sample_skewness,0_differences_10_sample_mean,1_differences_100_sample_std,2_differences_1_sample_mean,2_differences_10_sample_skewness,1_differences_1000_sample_kurtosis,1_differences_10_sample_std,2_differences_100_sample_mean,0_differences_1000_sample_std,0_differences_10_sample_std,0_differences_10_sample_kurtosis,2_differences_100_sample_skewness,1_differences_10_sample_mean,0_differences_1000_sample_skewness,1_differences_100_sample_kurtosis
01 Fly Me To The Moon (With Count Basie).m4a,0.000261666666667,,4.29030145745,4.480003901,,-0.369457982974,,0.109754866728,0.210420738284,,0.0,-20.4206566667,0.135626934532,-0.000436666666667,3.11778044661,20.665673609,,-20.4206566667,0.0,0.000261666666667,,16.9651584344,-20.4206566667,-0.000436666666667,0.0,0.0232222128456,9.4576680536,0.356857284779,-0.000436666666667,2.16728308433,0.209389436822,0.142254398148,14.5949588033,1.26221241261,-20.4206566667,0.0195295898006,0.000261666666667,0.273841134992,6.76327115429,0.00160775550933,0.000261666666667,251.94361483,2.27778288714,2.08262790507,0.30252569229,-0.000436666666667,-0.257414953995,5.07504125523
01 Life in Technicolor.mp3,-0.000465,,4.27632113605,3.04616019308,,-0.316534644763,,-0.00512948085316,0.511175721026,,0.0,0.0124616666667,0.0167343594885,0.000163333333333,4.95280619614,11.3946922653,,0.0124616666667,0.0,-0.000465,,1.48213294816,0.0124616666667,0.000163333333333,0.0,0.00603886233767,4.84794426831,0.473449838599,0.000163333333333,0.621488904788,0.0454805470931,-0.0987980209375,12.6051720932,0.848725376688,0.0124616666667,0.0331180043347,-0.000465,-1.29850065678,12.7728209029,0.00472296281774,-0.000465,8.93915677627,0.241118591505,1.84190086371,-0.241558712386,0.000163333333333,0.145287213057,7.17205891308
01 Love Me Do.m4a,-8.67361737988e-22,,3.13024953107,6.23988235498,,-0.468658060699,,-4.76936126878,10.7866838045,,0.0,-6.687115,0.583728047063,0.00182833333333,,329.421487603,,-6.687115,0.0,0.0,,87.0749073442,-6.687115,0.00182833333333,0.0,0.0,,-0.947564503823,0.00182833333333,0.000552770798393,0.0,0.00932737177784,5.48977928238,-0.417911328299,-6.687115,1.19841140832,0.0,,4.48691248519,0.154919399124,0.0,937.091901005,8.65460185061,3.55032978014,,0.00182833333333,0.0431326168537,4.29001312766
01 New York New York.m4a,-0.00400833333333,,3.72133167532,5.47268053647,,0.0956164049056,,-0.0976197665649,6.86578367903,,0.0,-0.73027,0.734298850673,0.00266833333333,3.73306894855,4.9643477411,,-0.73027,0.0,-0.00400833333333,,40.2846531533,-0.73027,0.00266833333333,0.0,0.059185804534,6.419340248,0.0804979500937,0.00266833333333,4.92499596812,0.471731680075,-0.0699374631556,5.99669512791,0.618001000112,-0.73027,0.61050086791,-0.00400833333333,0.555376650853,4.6503316146,0.0220126168998,-0.00400833333333,622.431970469,4.11037051809,2.16186967566,-0.210204803283,0.00266833333333,-0.361262344623,3.99008428519
01 Square.mp3,0.00249,,2.90025999693,2.80288362665,,0.451860414777,,0.0100773795637,12.0968322335,,0.0,-1.78062333333,0.0064952356337,0.000268333333333,2.60486809485,3.50847759231,,-1.78062333333,0.0,0.00249,,36.003954015,-1.78062333333,0.000268333333333,0.0,0.0487960604056,3.1162775835,0.157812157078,0.000268333333333,6.47371077512,0.69117331434,0.0901576906222,2.90133144791,-0.674053298385,-1.78062333333,1.13835081536,0.00249,0.40895924648,3.18324334578,0.0766611673571,0.00249,346.483529552,2.50506007195,2.32877586118,0.0164591536625,0.000268333333333,0.0481785239129,3.70084924653
01 Strangers In The Night.m4a,0.003435,,2.60383576786,8.72481224941,,0.247576475237,,0.0502130898047,6.11050179519,,0.0,-9.55955333333,-0.268006211487,0.00061,2.65986610099,3.74386914102,,-9.55955333333,0.0,0.003435,,46.7356661522,-9.55955333333,0.00061,0.0,0.0683488098124,2.93425990734,-0.886738514481,0.00061,7.39382251562,0.598447808406,-0.0836315146691,7.43490424206,-0.649614249793,-9.55955333333,0.445603161905,0.003435,0.0698296924536,4.11334687155,0.0406689536242,0.003435,555.972693776,7.33527143966,2.35230789357,0.232554603554,0.00061,-0.0194679740054,4.49096959013
01 The Girl From Ipanema.mp3,-0.00102833333333,,2.23657951591,2.38026279283,,0.16314773316,,-0.102746885418,1.60285287836,,0.0,-39.2201066667,0.436973795064,0.00091,4.05380431304,3.80642452528,,-39.2201066667,0.0,-0.00102833333333,,18.9632536807,-39.2201066667,0.00091,0.0,0.00620391028125,3.87203335578,0.89608949265,0.00091,0.617494436122,0.0380726794361,-0.00792074169293,5.05180615743,0.473580285575,-39.2201066667,0.0860742425661,-0.00102833333333,-1.15158180955,5.68852906146,0.0173226412536,-0.00102833333333,125.205980698,16.5944256609,2.62525363625,-0.633478863442,0.00091,-0.0150959817186,3.42012829142
01 Waltz in E flat - Op.18 (Grand Valse brillante).mp3,-0.00529,,3.36692687319,2.96396383315,,0.0536179910457,,0.0151958085393,3.02517179709,,0.0,-70.9387316667,0.530783572921,-0.00351833333333,4.33366794212,11.0593972193,,-70.9387316667,0.0,-0.00529,,25.3541059472,-70.9387316667,-0.00351833333333,0.0,0.0469859726112,7.64911663806,1.03323237097,-0.00351833333333,3.50260582191,0.34214599923,0.00266240984175,4.8057828952,-0.544761033511,-70.9387316667,0.328166354236,-0.00529,-1.04577517946,7.59411313707,0.0426037644724,-0.00529,117.805965032,20.4066833945,2.94350825143,0.656750985054,-0.00351833333333,-0.0236024368116,5.52033942991
02 Cemeteries of London.mp3,-0.00133833333333,,2.06897865541,10.169576527,,-0.42030310298,,0.050199914708,6.04469217989,,0.0,2.45348333333,-0.370652393446,0.000853333333333,2.18895854596,5.76747155364,,2.45348333333,0.0,-0.00133833333333,,179.024178761,2.45348333333,0.000853333333333,0.0,0.0261738408955,4.10444030389,-0.115411692208,0.000853333333333,4.30236358819,0.519957034793,-0.124774916449,11.0859258772,-0.0945251336728,2.45348333333,0.59928363359,-0.00133833333333,0.0440150728739,7.52927896348,0.0304310411696,-0.00133833333333,1584.04524801,12.3590929296,3.36039669518,0.127600619938,0.000853333333333,0.0166586017629,6.53724433699
02 From Me To You.m4a,1.73472347598e-21,,2.19181906404,4.78128634365,,0.107211327125,,-16.6196152374,12.6057421124,,0.0,-6.15806,-0.48755637378,-0.00797166666667,,560.491493384,,-6.15806,0.0,0.0,,83.0730772987,-6.15806,-0.00797166666667,0.0,0.0,,-0.49864637189,-0.00797166666667,0.000619139187367,0.0,0.0701401131881,6.90760788527,0.163526172065,-6.15806,1.25098924768,0.0,,3.20628323136,0.129407069842,0.0,784.220585918,5.63133344698,2.82892855426,,-0.00797166666667,-0.189678727087,2.53259947715
02 What If.mp3,-0.000138333333333,,3.50111130809,5.41754102693,,0.373604182722,,-0.0440485233612,5.20976461944,,0.0,-1.83005,-0.153499319165,0.000233333333333,2.92973559207,6.43644923032,,-1.83005,0.0,-0.000138333333333,,21.8975623177,-1.83005,0.000233333333333,0.0,0.0116947116491,4.97131729486,-0.194738375071,0.000233333333333,1.29656636942,0.0996753063563,0.539452896426,5.06222487669,-1.14900476598,-1.83005,0.497611057398,-0.000138333333333,0.133464308104,8.759315944,0.0749581186767,-0.000138333333333,178.448458592,1.81495997651,3.3721045302,0.392635949014,0.000233333333333,0.0984280461822,4.32313709129
